Date,Price,Open,High,Low,Vol.,Change %
15-04-2024,86,89.1,90.61,85.93,443.08M,-2.48%
16-04-2024,87.42,86.43,88.12,86.06,370.45M,1.64%
17-04-2024,84.04,88.34,88.78,83.95,495.40M,-3.87%
18-04-2024,84.67,84.97,86.19,82.4,447.26M,0.76%
19-04-2024,76.2,83.15,84.32,75.61,875.20M,-10.00%
22-04-2024,79.52,78.1,80.07,76.4,596.34M,4.35%
23-04-2024,82.42,80.77,82.77,80.26,438.56M,3.65%
24-04-2024,79.68,83.95,84.08,79.18,512.21M,-3.33%
25-04-2024,82.63,78.87,83.32,78.22,424.64M,3.71%
26-04-2024,87.74,83.82,88.33,83.39,551.01M,6.18%
29-04-2024,87.76,87.6,87.99,85.27,388.97M,0.03%
30-04-2024,86.4,87.24,88.82,86.3,363.71M,-1.54%
01-05-2024,83.04,85.08,86,81.25,559.86M,-3.89%
02-05-2024,85.82,84.45,86.24,83.2,377.90M,3.34%
03-05-2024,88.79,87.79,89.28,87.04,398.34M,3.46%
06-05-2024,92.14,89.39,92.22,89.06,376.20M,3.77%
07-05-2024,90.55,91.1,91.78,89.01,437.34M,-1.72%
08-05-2024,90.41,89.48,91.19,89.42,325.72M,-0.16%
09-05-2024,88.75,90.53,91.07,88.23,378.01M,-1.84%
10-05-2024,89.88,90.3,91.4,89.23,335.32M,1.27%
13-05-2024,90.4,90.48,91,88.53,289.68M,0.58%
14-05-2024,91.36,89.6,91.65,88.93,296.51M,1.06%
15-05-2024,94.63,92.47,94.86,91.6,417.74M,3.58%
16-05-2024,94.36,94.91,95.82,94.1,323.95M,-0.29%
17-05-2024,92.48,94.37,94.74,91.81,359.69M,-1.99%
20-05-2024,94.78,93.75,95.2,93.44,318.76M,2.49%
21-05-2024,95.39,93.6,95.4,93.18,328.95M,0.64%
22-05-2024,94.95,95.46,96.02,93.25,548.65M,-0.46%
23-05-2024,103.8,102.03,106.32,101.52,835.07M,9.32%
24-05-2024,106.47,104.45,106.47,103,429.49M,2.57%
28-05-2024,113.9,110.24,114.94,109.88,652.73M,6.98%
29-05-2024,114.82,113.05,115.49,110.9,557.44M,0.81%
30-05-2024,110.5,114.65,115.82,109.66,487.35M,-3.77%
31-05-2024,109.63,112.52,112.72,106.94,613.26M,-0.78%
03-06-2024,115,113.62,115,112,438.39M,4.90%
04-06-2024,116.44,115.72,116.6,114.04,403.32M,1.25%
05-06-2024,122.44,118.37,122.45,117.47,528.40M,5.16%
06-06-2024,121,124.05,125.59,118.32,664.70M,-1.18%
07-06-2024,120.89,119.77,121.69,118.02,412.39M,-0.09%
10-06-2024,121.79,120.37,123.1,117.01,314.16M,0.75%
11-06-2024,120.91,121.77,122.87,118.74,222.55M,-0.72%
12-06-2024,125.2,123.06,126.88,122.57,299.60M,3.55%
13-06-2024,129.61,129.39,129.8,127.16,260.70M,3.52%
14-06-2024,131.88,129.96,132.84,128.32,309.32M,1.75%
17-06-2024,130.98,132.99,133.73,129.58,288.50M,-0.68%
18-06-2024,135.58,131.14,136.33,130.69,294.34M,3.51%
20-06-2024,130.78,139.8,140.76,129.52,517.77M,-3.54%
21-06-2024,126.57,127.12,130.63,124.3,655.48M,-3.22%
24-06-2024,118.11,123.24,124.46,118.04,476.06M,-6.68%
25-06-2024,126.09,121.2,126.5,119.32,425.79M,6.76%
26-06-2024,126.4,126.13,128.12,122.6,362.98M,0.25%
27-06-2024,123.99,124.1,126.41,122.92,252.57M,-1.91%
28-06-2024,123.54,124.58,127.71,122.75,315.52M,-0.36%
01-07-2024,124.3,123.47,124.84,118.83,284.89M,0.62%
02-07-2024,122.67,121.13,123.41,121.03,218.37M,-1.31%
03-07-2024,128.28,121.66,128.28,121.36,215.75M,4.57%
05-07-2024,125.83,127.38,128.85,125.68,214.18M,-1.91%
08-07-2024,128.2,127.49,130.77,127.04,237.68M,1.88%
09-07-2024,131.38,130.35,133.82,128.65,287.02M,2.48%
10-07-2024,134.91,134.03,135.1,132.42,248.98M,2.69%
11-07-2024,127.4,135.75,136.15,127.05,374.78M,-5.57%
12-07-2024,129.24,128.26,131.92,127.22,252.68M,1.44%
15-07-2024,128.44,130.56,131.39,127.18,208.33M,-0.62%
16-07-2024,126.36,128.44,129.04,124.58,214.77M,-1.62%
17-07-2024,117.99,121.35,121.85,116.72,390.09M,-6.62%
18-07-2024,121.09,121.85,122.4,116.56,320.98M,2.63%
19-07-2024,117.93,120.35,121.6,117.37,217.22M,-2.61%
22-07-2024,123.54,120.35,124.07,119.86,258.07M,4.76%
23-07-2024,122.59,122.78,124.69,122.1,173.91M,-0.77%
24-07-2024,114.25,119.17,119.95,113.44,327.78M,-6.80%
25-07-2024,112.28,113.04,116.63,106.3,460.07M,-1.72%
26-07-2024,113.06,116.19,116.2,111.58,293.40M,0.69%
29-07-2024,111.59,113.69,116.28,111.3,248.15M,-1.30%
30-07-2024,103.73,111.52,111.99,102.54,486.83M,-7.04%
31-07-2024,117.02,112.9,118.34,110.88,473.17M,12.81%
01-08-2024,109.21,117.53,120.16,106.81,523.46M,-6.67%
02-08-2024,107.27,103.76,108.72,101.37,482.03M,-1.78%
05-08-2024,100.45,92.06,103.41,90.69,552.84M,-6.36%
06-08-2024,104.25,103.84,107.71,100.55,409.01M,3.78%
07-08-2024,98.91,107.81,108.8,98.69,411.44M,-5.12%
08-08-2024,104.97,102,105.5,97.52,391.91M,6.13%
09-08-2024,104.75,105.64,106.6,103.43,290.84M,-0.21%
12-08-2024,109.02,106.32,111.07,106.26,325.56M,4.08%
13-08-2024,116.14,112.44,116.23,111.58,312.65M,6.53%
14-08-2024,118.08,118.53,118.6,114.07,339.25M,1.67%
15-08-2024,122.86,118.76,123.24,117.47,318.09M,4.05%
16-08-2024,124.58,121.94,125,121.18,302.59M,1.40%
19-08-2024,130,124.28,130,123.42,318.33M,4.35%
20-08-2024,127.25,128.4,129.88,125.89,300.09M,-2.12%
21-08-2024,128.5,127.32,129.35,126.66,257.88M,0.98%
22-08-2024,123.74,130.02,130.75,123.1,376.19M,-3.70%
23-08-2024,129.37,125.86,129.6,125.22,323.23M,4.55%
26-08-2024,126.46,129.57,131.26,124.37,331.96M,-2.25%
27-08-2024,128.3,125.05,129.2,123.88,303.14M,1.46%
28-08-2024,125.61,128.12,128.33,122.64,448.10M,-2.10%
29-08-2024,117.59,121.36,124.43,116.71,453.02M,-6.38%
30-08-2024,119.37,119.53,121.75,117.22,333.75M,1.51%
03-09-2024,108,116.01,116.21,107.29,477.16M,-9.53%
04-09-2024,106.21,105.41,113.27,104.12,372.47M,-1.66%
05-09-2024,107.21,104.99,109.65,104.76,306.85M,0.94%
06-09-2024,102.83,108.04,108.15,100.95,413.64M,-4.09%
09-09-2024,106.47,104.88,106.55,103.69,273.91M,3.54%
10-09-2024,108.1,107.81,109.4,104.95,268.28M,1.53%
11-09-2024,116.91,109.39,117.19,107.42,441.42M,8.15%
12-09-2024,119.14,116.84,120.79,115.38,367.10M,1.91%
13-09-2024,119.1,119.08,119.96,117.6,238.36M,-0.03%
16-09-2024,116.78,116.79,118.18,114.36,248.77M,-1.95%
17-09-2024,115.59,118.17,118.8,114.83,231.93M,-1.02%
18-09-2024,113.37,115.89,117.7,113.22,310.32M,-1.92%
19-09-2024,117.87,117.35,119.66,117.25,293.51M,3.97%
20-09-2024,116,117.06,118.62,115.39,382.46M,-1.59%
23-09-2024,116.26,116.55,116.99,114.86,206.23M,0.22%
24-09-2024,120.87,116.51,121.8,115.38,354.97M,3.97%
25-09-2024,123.51,122.02,124.94,121.61,284.69M,2.18%
26-09-2024,124.04,126.8,127.67,121.8,302.58M,0.43%
27-09-2024,121.4,123.97,124.03,119.26,271.01M,-2.13%
30-09-2024,121.44,118.31,121.5,118.15,227.05M,0.03%
01-10-2024,117,121.76,122.44,115.79,302.09M,-3.66%
02-10-2024,118.85,116.44,119.38,115.14,221.85M,1.58%
